Sr No,Reviewer Name,Date,Review
1,TheBarracksClub,21-Aug,"Burger Co, in a word, rocks. I read some of the less than complimentary reviews and simply cannot understand how such and experience can be possible. I've frequented CBC many times and not once was it anything but spectacular. Dave, you are doing a bang-up job running a tough niche business during even tougher times. We love you. With or without onions. Be in to see you, soon."
2,Honey and Hot Sauce,21-Jul,Spicy burger is amazing. Huge burgers cooked to order with POTATO BREAD. I wish sauce came with the fried raviolis but now I know to ask next time:)
3,Barbara Buczynski,21-Jul,I appreciate that they have a vegan alternative.
4,Karen N.,21-Jul,"Don't be fooled by the lack of atmosphere. The interior is dirty and looks like a college dorm. The signage done by a middle school art student with a stencil and the customer service doesn't exist. There are interior and exterior tables but service does not exist. This place is strictly take out. However .... The burgers were delicious and the onion rings were great. If you want a nice place to eat , skip this place. But if you want a burger in a bag to go , this place will suffice."
5,Amandeep Kaur,21-Jul,I happened to stumble upon this place last year. I remember it was the best burger I had in Jersey. I revisited the place and got a cheesesteak and a burger. Both were delicious and the services was great. All at a reasonable price. Will be back.
6,Mark Allan,21-Jun,"Big, high quality burgers with all the fixin's and accompaniments...what's not to like?"
7,Shannon McShakin,21-Jun,Reasonable prices and located in a cute town
8,Christopher P.,21-Jun,Was told there was no chicken patty even though the menu states they carry one. Instead the burger I ordered was tasty cooked improperly from what I ordered though.
9,Dan Perez,21-Jun,"We visited the Burger Co. for the first time and it was ok. I was expecting a bit more when visiting this location after reading the reviews. The location is small with a nostalgic design which was nice. There was no music playing just quiet. As it was our first time we just ordered a bacon cheeseburger with fries. The cashier staff was not the friendliest just took our order and that was it. There was no greeting or suggestion what is good on the menu. After waiting about 5 minutes we received our burgers and fries in a bag. The burger looked fresh with good meat but after the first bite there was really no flavor. The bacon was really good but that was it. I like that the meat patty looked better than most burgers (like a five guys/shake shak) but was really missing flavor. The fries are steak fries which had a little bit of seasoning on them. Four stars is generous for this location, but, maybe it was just an off day."
11,Travis Perkins,21-Jun,Wish I found this place sooner. Great burgers and cajun fries. Worth every cent
12,Jeffrey Lance,21-Apr,"I come here often, and the food is consistently good. Their burgers are on the same level as Five Guys... yes, I said that, but in my opinion, it’s true!"
13,Jeremy Clark,21-Feb,"Great food, and fresh even near closing time ! Interested atmosphere and comfortable feel as well."
14,Thomas Herrington,21-Feb,"Nice place, good food, hood serving sizeWill return"
15,Imants Liepins,21-Feb,The burgers are great. I wish they had more options.
16,Amily17,21-Jan,Burgers were good- ordered a build your own and a texas burger. Were pretty cold when we got it home but I'm sure would be even better as a sit in or dine outside. Were a great size and juicy. Largeamount of fries for the price and burgers were a good size. Will definitely be back.
17,Haley Marshall,21-Jan,Had a super yummy burger and my first fried ravioli experience here. Definitely recommend!!
18,Alex P.,20-Dec,"First time going here since it's changed ownership. Cashier was not helpful or welcoming, inside was freezing cold. Got the Texas burger, cheap potato bun and burgers were very dry and tasted like low quality meat. Must of been frozen."
19,Mike A.,20-Dec,"Place was freezing and service was bad. My burger might have been hot at one point, but the ice cold frozen tomato's and lettuce that chilled my teeth when I bit into them, may have made my burger barely warm. Onion rings and fries were way under seasoned and super oily. Owner need to go in there and try his own food."
20,Luke W.,20-Dec,"We got the wrong food and then get gave us back the minimal toppings that were asked for, only having enough for the very center. The people in the back there very loud and didn't seem like they were very work oriented and the food showed that."
21,ahR842FP,20-Dec,"I stopped by at the Clinton location in Nov-2020. The menu looked interesting so ordered a portobello burger. To my surprise, it came with cold, dry mushrooms (like store bought, dry mushrooms in a bag), slapped with toppings. After first byte, I told the guy at the counter. He acted surprised and promised to replace with a lamb burger (it was at the same price). When second order came, it was again mushroom but this time it was portobello vegetable topped with cold iceberg lettuce, stale tomato slices and other toppings. There was not even a burger patty! I have never had anything worse than this until today. Throw your money down the drain rather than eating at this place ever!!"
22,Justin F.,20-Dec,"My wife and I ordered for first time today while we are both working from home and the food was great!  Even for take out the burgers, fries and onion rings all tasted fantastic and proportions were more than generous.  Highly recommend if you live in area or are just visiting.  Already looking forward to next time!"
23,A Hon,20-Nov,"LOUSIEST BURGER AND SERVICE.... I wish I can give -10.I stopped by at the Clinton location today. The menu looked interesting so ordered a portobello burger. To my surprise, it came with cold, dry mushrooms (like store bought), slapped with toppings. After first byte, I told the guy at the counter. He acted surprised and promised to replace with a lamb burger (it was at the same price). When second order came, it was again mushroom but this time it was portobello vegetable topped with cold iceberg lettuce, stale tomato slices and other toppings. There was not even a burger patty!I have never had anything worse than this until today. Throw your money down the drain rather than eating at this place ever!!"
