Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Item Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
5E+17,1,1/2/2021 11:37,1/2/2021 11:37,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,7.18,0,7.18,1,0.48,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,1,1/2/2021 11:37,1/2/2021 11:37,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Texan Burger,,Burgers,OUR SIGNATURE BURGERS,,8.19,0,8.19,1,0.55,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,1,1/2/2021 11:37,1/2/2021 11:37,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Texan Burger,,Burgers,OUR SIGNATURE BURGERS,,8.19,0,8.19,1,0.55,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,2,1/2/2021 11:42,1/2/2021 11:38,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,9.18,0,9.18,1,0.61,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,2,1/2/2021 11:42,1/2/2021 11:38,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Hot Dog,,Big Dogs,BIG DOGS,,3.29,0,3.29,1,0.22,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,2,1/2/2021 11:42,1/2/2021 11:38,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,9.18,0,9.18,1,0.61,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,2,1/2/2021 11:42,1/2/2021 11:38,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,11.56,0,11.56,1,0.77,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,3,1/2/2021 11:59,1/2/2021 11:42,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,California Burger,,Burgers,OUR SIGNATURE BURGERS,,7.18,0,7.18,1,0.48,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,3,1/2/2021 11:59,1/2/2021 11:42,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,California Burger,,Burgers,OUR SIGNATURE BURGERS,,7.18,0,7.18,1,0.48,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,3,1/2/2021 11:59,1/2/2021 11:42,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,3.19,0,3.19,1,0.22,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,3,1/2/2021 11:59,1/2/2021 11:42,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Onion Rings,,Sides,SIDES,,5.59,0,5.59,1,0.38,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,4,1/2/2021 12:08,1/2/2021 12:08,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,10.37,0,10.37,1,0.69,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,5,1/2/2021 12:30,1/2/2021 12:28,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Hawaiian Burger,,Burgers,OUR SIGNATURE BURGERS,,8.99,0,8.99,1,0.6,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,5,1/2/2021 12:30,1/2/2021 12:28,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Texan Burger,,Burgers,OUR SIGNATURE BURGERS,,8.19,0,8.19,1,0.55,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,5,1/2/2021 12:30,1/2/2021 12:28,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Sweet Potato Fries,,Sides,SIDES,,5.19,0,5.19,1,0.35,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,5,1/2/2021 12:30,1/2/2021 12:28,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Onion Rings,,Sides,SIDES,,5.59,0,5.59,1,0.38,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
