Order Id,Order #,Checks,Opened,# of Guests,Tab Names,Server,Table,Revenue Center,Dining Area,Service,Dining Options,Discount Amount,Amount,Tax,Tip,Gratuity,Total,Voided,Paid,Closed,Duration (Opened to Paid),Order Source
5E+17,1,1,1/2/2021 11:37,1,,,,None,,Lunch,DoorDash,0,23.56,1.58,0,0,25.14,FALSE,1/2/2021 11:37,1/2/2021 11:37,,API
5E+17,2,2,1/2/2021 11:38,1,,,,None,,Lunch,Take Out,0,33.21,2.21,0,0,35.42,FALSE,1/2/2021 11:42,1/2/2021 11:42,0:04:04,In Store
5E+17,3,3,1/2/2021 11:42,1,,,,None,,Lunch,Take Out,0,23.14,1.56,0,0,24.7,FALSE,1/2/2021 12:02,1/2/2021 12:02,0:20:28,In Store
5E+17,4,4,1/2/2021 12:08,1,,,,None,,Lunch,DoorDash,0,10.37,0.69,0,0,11.06,FALSE,1/2/2021 12:08,1/2/2021 12:08,,API
5E+17,5,5,1/2/2021 12:28,1,,,,None,,Lunch,Take Out,0,31.34,2.12,0,0,33.46,FALSE,1/2/2021 12:35,1/2/2021 12:35,0:07:46,In Store
5E+17,6,6,1/2/2021 12:39,1,,,,None,,Lunch,Take Out,0,23.03,1.55,0,0,24.58,FALSE,1/2/2021 12:54,1/2/2021 12:54,0:14:58,In Store
5E+17,7,7,1/2/2021 12:40,1,,,,None,,Lunch,Take Out,0,10.66,0.72,0,0,11.38,FALSE,1/2/2021 12:46,1/2/2021 12:46,0:05:52,In Store
5E+17,8,8,1/2/2021 12:47,1,,,,None,,Lunch,Take Out,0,10.37,0.69,1.56,0,12.62,FALSE,1/2/2021 12:48,1/2/2021 12:48,0:01:06,In Store
5E+17,9,9,1/2/2021 12:48,1,,,,None,,Lunch,Take Out,0,57.19,3.83,8.58,0,69.6,FALSE,1/2/2021 12:54,1/2/2021 12:54,0:05:41,In Store
5E+17,11,11,1/2/2021 13:15,1,,,,None,,Lunch,DoorDash,0,12.58,0.84,0,0,13.42,FALSE,1/2/2021 13:15,1/2/2021 13:15,,API
5E+17,10,10,1/2/2021 12:54,1,,,,None,,Lunch,Take Out,0,11.08,0.74,0,0,11.82,FALSE,1/2/2021 13:29,1/2/2021 13:29,0:34:37,In Store
5E+17,12,12,1/2/2021 13:29,1,,,,None,,Lunch,Take Out,0,8.99,0.6,0,0,9.59,FALSE,1/2/2021 13:29,1/2/2021 13:29,0:00:28,In Store
5E+17,13,13,1/2/2021 13:29,1,,,,None,,Lunch,Take Out,0,11.28,0.76,1.69,0,13.73,FALSE,1/2/2021 13:30,1/2/2021 13:30,0:00:37,In Store
5E+17,14,14,1/2/2021 13:30,1,,,,None,,Lunch,Take Out,0,13.18,0.88,1.98,0,16.04,FALSE,1/2/2021 13:33,1/2/2021 13:33,0:03:04,In Store
5E+17,15,15,1/2/2021 13:33,1,,,,None,,Lunch,Take Out,0,22.34,1.5,4.47,0,28.31,FALSE,1/2/2021 13:41,1/2/2021 13:41,0:08:21,In Store
5E+17,16,16,1/2/2021 13:49,1,,,,None,,Lunch,Take Out,0,10.66,0.72,0,0,11.38,FALSE,1/2/2021 13:49,1/2/2021 13:49,0:00:18,In Store
5E+17,17,17,1/2/2021 13:49,1,,,,None,,Lunch,Take Out,0,18.94,1.27,0,0,20.21,FALSE,1/2/2021 13:50,1/2/2021 13:50,0:00:26,In Store
5E+17,18,18,1/2/2021 13:54,1,,,,None,,Lunch,Take Out,0,13.58,0.91,2.72,0,17.21,FALSE,1/2/2021 13:55,1/2/2021 13:55,0:00:51,In Store
5E+17,19,19,1/2/2021 13:55,1,,,,None,,Lunch,Take Out,0,22.78,1.52,5.7,0,30,FALSE,1/2/2021 14:03,1/2/2021 14:03,0:07:58,In Store
5E+17,20,20,1/2/2021 14:04,1,,,,None,,Lunch,DoorDash,0,20.35,1.36,0,0,21.71,FALSE,1/2/2021 14:04,1/2/2021 14:04,,API
5E+17,21,21,1/2/2021 14:08,1,,,,None,,Lunch,Take Out,0,19.56,1.31,0,0,20.87,FALSE,1/2/2021 14:20,1/2/2021 14:20,0:11:41,In Store
5E+17,22,22,1/2/2021 14:09,1,,,,None,,Lunch,Take Out,0,10.37,0.7,0,0,11.07,FALSE,1/2/2021 14:25,1/2/2021 14:25,0:16:13,In Store
5E+17,23,23,1/2/2021 14:10,1,,,,None,,Lunch,Take Out,0,22.54,1.51,0,0,24.05,FALSE,1/2/2021 14:16,1/2/2021 14:16,0:05:55,In Store
5E+17,24,24,1/2/2021 14:16,1,,,,None,,Lunch,Take Out,0,9.57,0.64,0,0,10.21,FALSE,1/2/2021 14:18,1/2/2021 14:18,0:01:37,In Store
5E+17,25,25,1/2/2021 14:18,1,,,,None,,Lunch,Take Out,0,22.78,1.52,0,0,24.3,FALSE,1/2/2021 14:19,1/2/2021 14:19,0:01:13,In Store
5E+17,26,26,1/2/2021 14:20,1,,,,None,,Lunch,Take Out,0,27.75,1.86,5.55,0,35.16,FALSE,1/2/2021 14:25,1/2/2021 14:25,0:04:30,In Store
5E+17,27,27,1/2/2021 14:30,1,,,,None,,Lunch,DoorDash,0,9.99,0.67,0,0,10.66,FALSE,1/2/2021 14:30,1/2/2021 14:30,,API
5E+17,28,28,1/2/2021 14:34,1,,,,None,,Lunch,Take Out,0,35.33,2.37,5.3,0,43,FALSE,1/2/2021 14:55,1/2/2021 14:55,0:21:03,In Store
5E+17,29,29,1/2/2021 14:36,1,,,,None,,Lunch,Take Out,0,16.74,1.12,2.51,0,20.37,FALSE,1/2/2021 14:43,1/2/2021 14:43,0:07:37,In Store
5E+17,30,30,1/2/2021 14:51,1,,,,None,,Lunch,Take Out,0,25.65,1.72,5.13,0,32.5,FALSE,1/2/2021 14:51,1/2/2021 14:51,0:00:41,In Store
5E+17,31,31,1/2/2021 14:51,1,,,,None,,Lunch,Take Out,0,32.14,2.16,0,0,34.3,FALSE,1/2/2021 14:54,1/2/2021 14:54,0:02:46,In Store
5E+17,33,33,1/2/2021 15:16,1,,,,None,,Lunch,DoorDash,0,29.11,1.96,0,0,31.07,FALSE,1/2/2021 15:16,1/2/2021 15:16,,API
5E+17,34,34,1/2/2021 15:24,1,,,,None,,Lunch,DoorDash,0,13.67,0.92,0,0,14.59,FALSE,1/2/2021 15:24,1/2/2021 15:24,,API
5E+17,35,35,1/2/2021 15:29,1,,,,None,,Lunch,Take Out,0,22.78,1.52,3,0,27.3,FALSE,1/2/2021 15:31,1/2/2021 15:31,0:01:35,In Store
5E+17,36,36,1/2/2021 15:37,1,,,,None,,Lunch,Take Out,0,40.59,2.73,0,0,43.32,FALSE,1/2/2021 15:40,1/2/2021 15:40,0:02:41,In Store
5E+17,37,37,1/2/2021 15:40,1,,,,None,,Lunch,Take Out,0,47.28,3.19,0,0,50.47,FALSE,1/2/2021 15:41,1/2/2021 15:41,0:01:30,In Store
5E+17,38,38,1/2/2021 15:41,1,,,,None,,Lunch,Take Out,0,35.14,2.35,0,0,37.49,FALSE,1/2/2021 15:43,1/2/2021 15:43,0:01:34,In Store
5E+17,39,39,1/2/2021 15:57,1,,,,None,,Lunch,DoorDash,0,30.74,2.06,0,0,32.8,FALSE,1/2/2021 15:57,1/2/2021 15:57,,API
5E+17,41,41,1/2/2021 16:41,1,,,,None,,Dinner,DoorDash,0,11.37,0.76,0,0,12.13,FALSE,1/2/2021 16:41,1/2/2021 16:41,,API
5E+17,42,42,1/2/2021 16:50,1,,,,None,,Dinner,DoorDash,0,39.5,2.65,0,0,42.15,FALSE,1/2/2021 16:50,1/2/2021 16:50,,API
5E+17,43,43,1/2/2021 16:55,1,,,,None,,Dinner,Take Out,0,35.1,2.35,5.26,0,42.71,FALSE,1/2/2021 17:29,1/2/2021 17:29,0:34:14,In Store
