,index,Text,Sentiment,Sentiment_score,Dominant_Topic,Topic_Keywords,Date
0,0,"Burger Co, in a word, rocks. I read some of the less than complimentary reviews and simply cannot understand how such and experience can be possible. I've frequented CBC many times and not once was it anything but spectacular. Dave, you are doing a bang-up job running a tough niche business during even tougher times. We love you. With or without onions. Be in to see you, soon.",Positive,0.1744444444444444,5.0,"burger, fry, great, burgers, good, hear, like, johnny, cook, juicy",21-Aug
1,1,Spicy burger is amazing. Huge burgers cooked to order with POTATO BREAD. I wish sauce came with the fried raviolis but now I know to ask next time:),Positive,0.375,4.0,"burgers, great, fry, cook, price, next, size, home, back, good",21-Jul
2,2,"Don't be fooled by the lack of atmosphere. The interior is dirty and looks like a college dorm. The signage done by a middle school art student with a stencil and the customer service doesn't exist. There are interior and exterior tables but service does not exist. This place is strictly take out. However .... The burgers were delicious and the onion rings were great. If you want a nice place to eat , skip this place. But if you want a burger in a bag to go , this place will suffice.",Positive,0.36,3.0,"burger, burgers, fry, good, great, like, nice, bacon, rare, delicious",21-Jul
3,3,I happened to stumble upon this place last year. I remember it was the best burger I had in Jersey. I revisited the place and got a cheesesteak and a burger. Both were delicious and the services was great. All at a reasonable price. Will be back.,Positive,0.4214285714285714,2.0,"good, burger, great, fry, price, service, also, nice, get, burgers",21-Jul
4,4,"Big, high quality burgers with all the fixin's and accompaniments...what's not to like?",Positive,0.08,4.0,"burgers, great, fry, cook, price, next, size, home, back, good",21-Jun
5,5,Reasonable prices and located in a cute town,Positive,0.35,5.0,"burger, fry, great, burgers, good, hear, like, johnny, cook, juicy",21-Jun
6,6,Was told there was no chicken patty even though the menu states they carry one. Instead the burger I ordered was tasty cooked improperly from what I ordered though.,Positive,0.3,0.0,"burger, fry, well, burgers, good, definitely, tasty, better, best, sandwich",21-Jun
7,7,"We visited the Burger Co. for the first time and it was ok. I was expecting a bit more when visiting this location after reading the reviews. The location is small with a nostalgic design which was nice. There was no music playing just quiet. As it was our first time we just ordered a bacon cheeseburger with fries. The cashier staff was not the friendliest just took our order and that was it. There was no greeting or suggestion what is good on the menu. After waiting about 5 minutes we received our burgers and fries in a bag. The burger looked fresh with good meat but after the first bite there was really no flavor. The bacon was really good but that was it. I like that the meat patty looked better than most burgers (like a five guys/shake shak) but was really missing flavor. The fries are steak fries which had a little bit of seasoning on them. Four stars is generous for this location, but, maybe it was just an off day.",Positive,0.2506944444444444,3.0,"burger, burgers, fry, good, great, like, nice, bacon, rare, delicious",21-Jun
8,8,Wish I found this place sooner. Great burgers and cajun fries. Worth every cent,Positive,0.55,5.0,"burger, fry, great, burgers, good, hear, like, johnny, cook, juicy",21-Jun
9,9,"I come here often, and the food is consistently good. Their burgers are on the same level as Five Guys... yes, I said that, but in my opinion, itÂs true!",Positive,0.3791666666666666,2.0,"good, burger, great, fry, price, service, also, nice, get, burgers",21-Apr
10,10,"Great food, and fresh even near closing time ! Interested atmosphere and comfortable feel as well.",Positive,0.375,0.0,"burger, fry, well, burgers, good, definitely, tasty, better, best, sandwich",21-Feb
11,11,"Nice place, good food, hood serving sizeWill return",Positive,0.6499999999999999,3.0,"burger, burgers, fry, good, great, like, nice, bacon, rare, delicious",21-Feb
12,12,The burgers are great. I wish they had more options.,Positive,0.65,4.0,"burgers, great, fry, cook, price, next, size, home, back, good",21-Feb
13,13,Burgers were good- ordered a build your own and a texas burger. Were pretty cold when we got it home but I'm sure would be even better as a sit in or dine outside. Were a great size and juicy. Largeamount of fries for the price and burgers were a good size. Will definitely be back.,Positive,0.345,4.0,"burgers, great, fry, cook, price, next, size, home, back, good",21-Jan
14,14,Had a super yummy burger and my first fried ravioli experience here. Definitely recommend!!,Positive,0.1944444444444444,0.0,"burger, fry, well, burgers, good, definitely, tasty, better, best, sandwich",21-Jan
15,15,"Place was freezing and service was bad. My burger might have been hot at one point, but the ice cold frozen tomato's and lettuce that chilled my teeth when I bit into them, may have made my burger barely warm. Onion rings and fries were way under seasoned and super oily. Owner need to go in there and try his own food.",Positive,0.1047619047619047,1.0,"burgers, burger, fry, great, best, service, like, fresh, good, clinton",20-Dec
16,16,"My wife and I ordered for first time today while we are both working from home and the food was great! Â Even for take out the burgers, fries and onion rings all tasted fantastic and proportions were more than generous. Â Highly recommend if you live in area or are just visiting. Â Already looking forward to next time!",Positive,0.3494805194805194,1.0,"burgers, burger, fry, great, best, service, like, fresh, good, clinton",20-Dec
